"record_id","hospital_id","hospital_name","department","resource_type","resource_subtype","date","shift","resource_capacity","resource_in_use","resource_available","forecasted_demand","surge_capacity","utilization_rate","unit_cost","total_cost","notes","last_updated"
"REC0027","H002","Riverside General Hospital","Emergency","monitor","Vital Signs Monitor","2024-06-04","night","3","2","1","2","4","0.667","1395","2790","All monitors in use at ER.","2024-06-04T21:31:02"
"REC0028","H003","Northside Regional Health","ICU","PPE","Gown","2024-06-04","morning","900","720","180","800","1100","0.8","3","2160","Usage stable, regular replenishment.","2024-06-04T10:01:01"
"REC0029","H004","Sunrise Children's Hospital","Emergency","nurse","","2024-06-04","full_day","10","11","0","12","13","1.1","75","825","Overutilization, double shifts required.","2024-06-04T20:15:45"
"REC0030","H005","Central City Medical Campus","Surgery","other","Laser Scalpel","2024-06-04","afternoon","2","1","1","2","3","0.5","75000","75000","Equipment available for elective cases.","2024-06-04T14:23:04"
"REC0031","H006","Lakeshore Medical Pavilion","ICU","bed","","2024-06-04","full_day","28","24","4","26","32","0.857","8200","196800","Bed occupancy approaching max.","2024-06-04T18:11:09"
"REC0032","H007","Liberty Memorial Hospital","Pediatrics","PPE","","2024-06-05","night","1100","800","300","850","1300","0.727","1.6","1280","Flu season increasing PPE use.","2024-06-05T22:35:18"
"REC0033","H008","Willowbrook Health Center","Surgery","doctor","Resident","2024-06-05","afternoon","6","3","3","4","7","0.5","160","480","Resident coverage as per schedule.","2024-06-05T13:37:50"
"REC0034","H009","Summit Hills Hospital","ICU","ventilator","ICU Ventilator","2024-06-05","morning","8","7","1","8","10","0.875","10600","74200","All but one ventilator in use.","2024-06-05T09:06:12"
"REC0035","H010","Maplewood Medical Institute","Emergency","PPE","Face Shield","2024-06-05","night","1400","1100","300","1200","1700","0.786","1.8","1980","Critical low stock for night shift.","2024-06-05T23:13:17"
"REC0036","H001","Green Valley Medical Center","ICU","nurse","ICU Nurse","2024-06-05","morning","19","19","0","20","22","1","78","1482","","2024-06-05T07:49:04"
"REC0037","H002","Riverside General Hospital","Surgery","other","Surgical Robot","2024-06-05","full_day","1","0","1","1","1","0","2500000","0","No robotic surgeries scheduled.","2024-06-05T18:05:55"
"REC0038","H003","Northside Regional Health","Emergency","nurse","ER Nurse","2024-06-05","night","13","15","0","15","16","1.154","77.5","1162.5","Emergency: staff covering multiple departments.","2024-06-05T22:00:33"
"REC0039","H004","Sunrise Children's Hospital","Pediatrics","monitor","Pulse Oximeter","2024-06-05","afternoon","2","1","1","2","3","0.5","950","950","All equipment functional.","2024-06-05T13:01:01"
"REC0040","H005","Central City Medical Campus","ICU","bed","ICU Bed","2024-06-05","night","36","32","4","34","40","0.889","8700","278400","","2024-06-05T23:35:28"
"REC0041","H006","Lakeshore Medical Pavilion","Emergency","PPE","N95 Mask","2024-06-06","morning","1300","1100","200","1150","1500","0.846","2.15","2365","Resupply scheduled.","2024-06-06T08:40:09"
"REC0042","H007","Liberty Memorial Hospital","ICU","nurse","ICU Nurse","2024-06-06","full_day","17","17","0","18","19","1","82","1394","Full attendance for scheduled shift.","2024-06-06T17:11:15"
"REC0043","H008","Willowbrook Health Center","Surgery","doctor","","2024-06-06","afternoon","8","8","0","9","9","1","320","2560","All doctors on deck for scheduled procedures.","2024-06-06T14:32:42"
"REC0044","H009","Summit Hills Hospital","Pediatrics","nurse","Pediatric Nurse","2024-06-06","morning","10","9","1","10","12","0.9","70","630","","2024-06-06T09:05:11"
"REC0045","H010","Maplewood Medical Institute","ICU","bed","ICU Bed","2024-06-06","night","32","29","3","30","36","0.906","9100","263900","Occupancy stable, surge not expected.","2024-06-06T22:58:03"
"REC0046","H001","Green Valley Medical Center","Emergency","doctor","ER Physician","2024-06-06","afternoon","7","6","1","7","8","0.857","205","1230","","2024-06-06T13:11:19"
"REC0047","H002","Riverside General Hospital","ICU","PPE","Gown","2024-06-06","morning","950","800","150","900","1100","0.842","3.25","2600","Stocks low, resupply on order.","2024-06-06T08:20:01"
"REC0048","H003","Northside Regional Health","Surgery","other","Electrocautery Unit","2024-06-06","afternoon","2","1","1","2","3","0.5","27500","27500","Equipment functional, only partial use.","2024-06-06T14:20:29"
"REC0049","H004","Sunrise Children's Hospital","ICU","nurse","ICU Nurse","2024-06-06","night","16","16","0","17","18","1","81","1296","All ICU nurses at full occupancy.","2024-06-06T23:10:10"
"REC0050","H005","Central City Medical Campus","Pediatrics","PPE","Child Surgical Mask","2024-06-06","morning","900","450","450","500","1100","0.5","1.7","765","Stock levels sufficient for week.","2024-06-06T09:05:55"
"REC0051","H011","Green Valley Medical Center","ICU","bed","ICU Bed","2023-06-04","morning","22","21","1","24","28","0.9545","7200","151200","Near full occupancy. Surge likely needed.","2023-06-04T09:34:00"
"REC0052","H012","Oakridge Regional Hospital","Emergency","PPE","Surgical Mask","2023-06-04","night","900","630","270","700","1200","0.7","2.5","1575","Stocked in advance for summer event.","2023-06-04T22:15:44"
"REC0053","H013","Sunrise General Hospital","Surgery","doctor","Surgeon","2023-06-05","afternoon","8","8","0","9","10","1","280","2240","All surgeons on duty for scheduled operations.","2023-06-05T15:32:18"
"REC0054","H011","Green Valley Medical Center","ICU","nurse","Critical Care Nurse","2023-06-05","full_day","16","14","2","15","18","0.875","68","952","Staffing close to full levels.","2023-06-05T23:59:00"
"REC0055","H014","Maplewood Hospital","Pediatrics","PPE","Child Mask","2023-06-06","morning","450","210","240","300","600","0.4667","2","420","Spikes during summer flu season.","2023-06-06T10:18:02"
"REC0056","H015","Southside Memorial Clinic","Emergency","nurse","ER Nurse","2023-06-06","night","13","10","3","14","16","0.7692","74.5","745","Busy shift with high patient inflow.","2023-06-06T23:10:18"
"REC0057","H016","Riverbend Health Center","ICU","ventilator","Adult Ventilator","2023-06-07","full_day","7","7","0","8","10","1","11800","82600","All ventilators in use after recent incident.","2023-06-07T19:22:05"
"REC0058","H012","Oakridge Regional Hospital","Emergency","doctor","Emergency Physician","2023-06-07","afternoon","7","8","0","9","10","1.1429","235","1880","Emergency: staff covering multiple departments.","2023-06-07T17:45:14"
"REC0059","H017","Hillcrest Medical Center","Surgery","monitor","Anesthesia Monitor","2023-06-07","afternoon","3","2","1","3","3","0.6667","3200","6400","High usage during elective surgery window.","2023-06-07T14:22:43"
"REC0060","H013","Sunrise General Hospital","Pediatrics","nurse","Pediatric Nurse","2023-06-08","morning","10","8","2","10","12","0.8","65","520","Staffing at normal levels.","2023-06-08T09:12:36"
"REC0061","H018","Cedarwood Community Hospital","Emergency","bed","ER Bed","2023-06-08","night","18","22","0","25","28","1.2222","6600","145200","Overutilized due to mass casualty event.","2023-06-08T23:50:17"
"REC0062","H019","Lakeshore Medical Institute","ICU","ventilator","Pediatric Ventilator","2023-06-08","morning","3","2","1","2","4","0.6667","12700","25400","Normal usage, additional units on standby.","2023-06-08T09:23:01"
"REC0063","H016","Riverbend Health Center","ICU","PPE","N95 Mask","2023-06-09","full_day","1200","1150","50","1300","1500","0.9583","3.2","3680","Critical low stock, reorder initiated.","2023-06-09T19:55:45"
"REC0064","H017","Hillcrest Medical Center","Surgery","other","Surgical Robot","2023-06-09","afternoon","1","1","0","1","1","1","2200000","2200000","High-cost, fully utilized for scheduled procedures.","2023-06-09T16:12:25"
"REC0065","H019","Lakeshore Medical Institute","Surgery","doctor","Anesthesiologist","2023-06-10","afternoon","4","3","1","4","5","0.75","320","960","Anesthesiologists scheduled for afternoon procedures.","2023-06-10T13:45:16"
"REC0066","H020","Pinecrest Regional Hospital","Emergency","PPE","Gloves","2023-06-10","morning","1100","960","140","1080","1400","0.8727","1.5","1440","High demand due to local outbreak.","2023-06-10T08:59:03"
"REC0067","H018","Cedarwood Community Hospital","Pediatrics","doctor","Pediatrician","2023-06-11","night","4","4","0","4","5","1","250","1000","All pediatricians on site for night shift.","2023-06-11T21:38:32"
"REC0068","H012","Oakridge Regional Hospital","Surgery","monitor","Vital Signs Monitor","2023-06-11","afternoon","2","1","1","2","3","0.5","2100","2100","One monitor on standby for backup.","2023-06-11T13:18:54"
"REC0069","H014","Maplewood Hospital","ICU","bed","ICU Bed","2023-06-12","morning","28","23","5","28","34","0.8214","8000","184000","Occupancy rising, additional beds may be needed.","2023-06-12T10:43:17"
"REC0070","H011","Green Valley Medical Center","Emergency","other","Defibrillator","2023-06-12","night","2","2","0","2","2","1","6500","13000","All defibrillators in use for cardiac emergencies.","2023-06-12T22:22:31"
"REC0071","H015","Southside Memorial Clinic","Pediatrics","PPE","Child Gown","2023-06-13","full_day","650","420","230","500","900","0.6462","4","1680","Usage increasing due to RSV uptick.","2023-06-13T19:40:11"
"REC0072","H017","Hillcrest Medical Center","ICU","nurse","Critical Care Nurse","2023-06-13","morning","18","16","2","17","22","0.8889","77.5","1240","Staffing near optimal for morning shift.","2023-06-13T10:00:25"
"REC0073","H018","Cedarwood Community Hospital","Surgery","other","Laparoscopic Tower","2023-06-13","afternoon","2","1","1","2","2","0.5","86000","86000","One tower on standby for support.","2023-06-13T14:18:36"
"REC0074","H013","Sunrise General Hospital","Emergency","bed","","2023-06-14","afternoon","15","7","8","10","18","0.4667","6700","46900","Low demand, beds available.","2023-06-14T13:12:14"
"REC0075","H020","Pinecrest Regional Hospital","ICU","ventilator","","2023-06-14","morning","5","4","1","5","7","0.8","11000","44000","Stable ventilator usage.","2023-06-14T09:49:20"
"REC0076","H011","Green Valley Medical Center","Emergency","nurse","","2023-06-15","night","12","10","2","12","15","0.8333","71.5","715","Night shift nearly at full capacity.","2023-06-15T23:02:08"
"REC0077","H019","Lakeshore Medical Institute","Pediatrics","PPE","","2023-06-15","afternoon","350","110","240","130","500","0.3143","2.7","297","Low PPE usage after spring outbreak.","2023-06-15T14:32:45"
"REC0078","H012","Oakridge Regional Hospital","Surgery","doctor","Orthopedic Surgeon","2023-06-15","afternoon","4","3","1","4","5","0.75","340","1020","Reduced orthopedic cases this week.","2023-06-15T13:47:14"
"REC0079","H013","Sunrise General Hospital","ICU","bed","","2023-06-16","night","20","18","2","20","24","0.9","7500","135000","Stable occupancy for night shift.","2023-06-16T22:20:56"
"REC0080","H015","Southside Memorial Clinic","Pediatrics","doctor","Pediatrician","2023-06-16","afternoon","3","2","1","3","4","0.6667","275","550","Lower patient load after outbreak.","2023-06-16T15:46:02"
"REC0081","H014","Maplewood Hospital","Surgery","monitor","","2023-06-17","night","2","0","2","1","2","0","3100","0","No surgeries scheduled for night shift.","2023-06-17T22:03:27"
"REC0082","H016","Riverbend Health Center","Emergency","bed","","2023-06-17","morning","23","21","2","24","28","0.913","7100","149100","Near full occupancy, watch for overflows.","2023-06-17T08:14:49"
"REC0083","H018","Cedarwood Community Hospital","ICU","respirator","","2023-06-18","full_day","2","2","0","2","3","1","187000","374000","All respirators in use for critical care.","2023-06-18T18:40:29"
"REC0084","H020","Pinecrest Regional Hospital","Emergency","doctor","Emergency Physician","2023-06-18","night","6","7","0","8","8","1.1667","245","1715","Overutilized: staff called in from other units.","2023-06-18T22:57:51"
"REC0085","H015","Southside Memorial Clinic","ICU","nurse","Critical Care Nurse","2023-06-19","morning","14","13","1","15","17","0.9286","70","910","Staffing at optimal, minor overtime.","2023-06-19T09:20:21"
"REC0086","H011","Green Valley Medical Center","Pediatrics","nurse","Pediatric Nurse","2023-06-19","afternoon","8","6","2","7","10","0.75","69","414","Several staff on scheduled leave.","2023-06-19T15:12:25"
"REC0087","H012","Oakridge Regional Hospital","Emergency","bed","ER Bed","2023-06-20","night","20","18","2","20","26","0.9","6700","120600","Beds filling up during local event.","2023-06-20T22:50:12"
"REC0088","H014","Maplewood Hospital","ICU","PPE","N95 Mask","2023-06-20","morning","900","780","120","850","1100","0.8667","3.5","2730","","2023-06-20T09:24:55"
"REC0089","H016","Riverbend Health Center","Surgery","other","Surgical Robot","2023-06-21","full_day","1","0","1","1","1","0","2300000","0","No surgical robot usage scheduled today.","2023-06-21T18:00:00"
"REC0090","H018","Cedarwood Community Hospital","Pediatrics","PPE","","2023-06-21","morning","520","180","340","200","650","0.3462","2.2","396","Usage stable post-vaccination.","2023-06-21T09:02:47"
"REC0091","H019","Lakeshore Medical Institute","ICU","nurse","","2023-06-22","night","15","14","1","16","18","0.9333","71","994","Night shift at near maximum.","2023-06-22T23:41:18"
"REC0092","H011","Green Valley Medical Center","Emergency","doctor","","2023-06-22","full_day","6","7","0","8","10","1.1667","230","1610","Overutilization due to summer festival.","2023-06-22T20:55:10"
"REC0093","H015","Southside Memorial Clinic","Surgery","monitor","","2023-06-23","afternoon","2","1","1","2","2","0.5","3450","3450","","2023-06-23T15:59:48"
"REC0094","H017","Hillcrest Medical Center","Pediatrics","doctor","","2023-06-23","night","4","3","1","4","5","0.75","260","780","One pediatrician on call only.","2023-06-23T23:13:30"
"REC0095","H012","Oakridge Regional Hospital","ICU","bed","","2023-06-24","morning","25","22","3","25","28","0.88","7800","171600","Beds filling up, monitor for surge.","2023-06-24T10:05:56"
"REC0096","H014","Maplewood Hospital","ICU","PPE","","2023-06-24","morning","850","740","110","800","950","0.8706","3","2220","","2023-06-24T09:40:37"
"REC0097","H016","Riverbend Health Center","Emergency","nurse","","2023-06-25","night","13","15","0","16","18","1.1538","75","1125","Overutilization: extra staff called in.","2023-06-25T23:05:18"
"REC0098","H019","Lakeshore Medical Institute","Pediatrics","PPE","","2023-06-25","afternoon","470","140","330","160","500","0.2979","2.5","350","","2023-06-25T15:21:07"
"REC0099","H011","Green Valley Medical Center","Surgery","other","","2023-06-26","afternoon","1","1","0","1","1","1","2100000","2100000","Surgical robot in use for scheduled operation.","2023-06-26T14:45:22"
"REC0100","H015","Southside Memorial Clinic","ICU","ventilator","","2023-06-26","morning","6","5","1","6","7","0.8333","11500","57500","","2023-06-26T09:38:51"
"REC03001","H027","Maple Ridge Regional Medical Center","ICU","bed","ICU Bed","2023-10-03","morning","32","31","1","33","40","0.97","7900","244900","Near full occupancy in ICU beds this week.","2023-10-03T09:02:12"
"REC03002","H025","Northlake General Hospital","Emergency","nurse","ER Nurse","2023-10-03","afternoon","13","14","0","14","15","1.08","74.5","1043","Emergency: staff covering multiple departments.","2023-10-03T14:34:51"
"REC03003","H022","Cedar Valley Medical Center","Surgery","monitor","Anesthesia Monitor","2023-10-03","afternoon","2","2","0","3","3","1","2450","4900","All monitors in use for scheduled procedures.","2023-10-03T15:09:25"
"REC03004","H021","Harborview Healthcare Center","Pediatrics","PPE","Child N95 Mask","2023-10-03","morning","420","287","133","300","600","0.68","3.85","1104.95","PPE usage spikes during school season.","2023-10-03T10:09:45"
"REC03005","H030","Summit Peaks University Hospital","ICU","ventilator","Portable Ventilator","2023-10-03","night","7","6","1","7","10","0.86","12900","77400","All but one ventilator in use, no failures.","2023-10-03T22:50:02"
"REC03006","H028","Golden Plains Medical Pavilion","Emergency","PPE","Surgical Mask","2023-10-03","full_day","1060","527","533","585","1300","0.5","1.7","895.9","Stocked in advance for potential surge event.","2023-10-03T20:19:10"
"REC03007","H021","Harborview Healthcare Center","Emergency","doctor","ER Physician","2023-10-04","night","7","7","0","8","9","1","297.5","2082.5","All ER physicians on duty for overnight shift.","2023-10-04T23:37:19"
"REC03008","H025","Northlake General Hospital","ICU","nurse","Critical Care Nurse","2023-10-04","morning","18","18","0","19","20","1","72","1296","Full ICU nursing staff scheduled.","2023-10-04T08:14:33"
"REC03009","H022","Cedar Valley Medical Center","Pediatrics","doctor","Pediatrician","2023-10-04","afternoon","5","6","0","6","7","1.2","320","1920","Emergency coverage: pediatrician overtime.","2023-10-04T16:04:22"
"REC03010","H024","Silver Pine Health Institute","Surgery","other","Surgical Robot","2023-10-04","full_day","1","1","0","1","2","1","2250000","2250000","High-cost, fully utilized asset, routine maintenance scheduled.","2023-10-04T18:41:01"
"REC03011","H026","Evergreen Regional Hospital","ICU","ventilator","ICU Ventilator","2023-10-04","night","8","10","0","10","12","1.25","11800","118000","Overutilization: additional units borrowed.","2023-10-04T22:21:08"
"REC03012","H027","Maple Ridge Regional Medical Center","Emergency","PPE","Gloves","2023-10-05","morning","910","588","322","600","1100","0.65","2.15","1264.2","PPE reserve used for multiple trauma cases.","2023-10-05T09:40:43"
"REC03013","H023","Willowbrook Memorial Hospital","Pediatrics","nurse","Pediatric Nurse","2023-10-05","afternoon","11","11","0","12","13","1","68","748","All pediatric nurses on duty for vaccination event.","2023-10-05T15:25:29"
"REC03014","H028","Golden Plains Medical Pavilion","Surgery","doctor","Surgeon","2023-10-05","morning","8","8","0","8","10","1","345","2760","All surgeons required for scheduled procedures.","2023-10-05T08:48:02"
"REC03015","H029","Riverbend Regional Hospital","ICU","nurse","Critical Care Nurse","2023-10-05","night","16","15","1","16","20","0.94","76.5","1147.5","ICU nurse staffing at near full, no absences.","2023-10-05T23:12:48"
"REC03016","H022","Cedar Valley Medical Center","ICU","bed","ICU Bed","2023-10-05","full_day","28","28","0","29","36","1","8900","249200","All ICU beds in use for trauma, surge likely.","2023-10-05T17:33:10"
"REC03017","H026","Evergreen Regional Hospital","Surgery","monitor","ECG Monitor","2023-10-06","afternoon","2","1","1","2","3","0.5","2100","2100","One ECG monitor in use, one on standby.","2023-10-06T15:44:25"
"REC03018","H030","Summit Peaks University Hospital","Pediatrics","nurse","","2023-10-06","morning","13","13","0","13","15","1","66","858","Full pediatric nurse team, no backup.","2023-10-06T07:59:44"
"REC03019","H024","Silver Pine Health Institute","ICU","ventilator","Portable Ventilator","2023-10-06","night","9","10","0","11","11","1.11","13150","131500","Overutilization: ICU borrowed from nearby hospital.","2023-10-06T23:56:38"
"REC03020","H023","Willowbrook Memorial Hospital","Pediatrics","PPE","","2023-10-06","afternoon","370","141","229","143","450","0.38","2.25","317.25","PPE usage low, stock sufficient for week.","2023-10-06T16:04:17"
"REC03021","H027","Maple Ridge Regional Medical Center","Emergency","doctor","ER Physician","2023-10-07","morning","8","8","0","9","10","1","302","2416","All ER physicians present, no absences.","2023-10-07T09:11:09"
"REC03022","H025","Northlake General Hospital","ICU","PPE","Isolation Gown","2023-10-07","afternoon","670","371","299","380","900","0.55","4.75","1762.25","Gown use higher due to infection control protocol.","2023-10-07T14:08:23"
"REC03023","H028","Golden Plains Medical Pavilion","Surgery","other","Laser Scalpel","2023-10-07","full_day","1","1","0","1","2","1","185000","185000","Laser scalpel scheduled for all-day surgery.","2023-10-07T11:51:19"
"REC03024","H021","Harborview Healthcare Center","Pediatrics","doctor","","2023-10-07","night","6","7","0","7","8","1.17","325","2275","On-call pediatrician filled overtime need.","2023-10-07T23:14:36"
"REC03025","H026","Evergreen Regional Hospital","ICU","bed","ICU Bed","2023-10-07","morning","38","35","3","37","44","0.92","7700","269500","ICU beds in high demand, some spare capacity.","2023-10-07T08:22:10"
"REC03026","H029","Riverbend Regional Hospital","Emergency","nurse","","2023-10-08","full_day","12","13","0","14","14","1.08","77","1001","Emergency: nurse overtime, shift extension.","2023-10-08T18:53:11"
"REC03027","H022","Cedar Valley Medical Center","Surgery","doctor","Anesthesiologist","2023-10-08","night","6","7","0","8","8","1.17","312","2184","Overutilization: anesthesiology coverage.","2023-10-08T21:23:58"
"REC03028","H024","Silver Pine Health Institute","ICU","PPE","Face Shield","2023-10-08","morning","350","185","165","200","400","0.53","5","925","Face shield use increased for COVID protocol.","2023-10-08T10:11:09"
"REC03029","H027","Maple Ridge Regional Medical Center","Emergency","monitor","","2023-10-08","afternoon","3","2","1","3","4","0.67","1890","3780","Monitors in use for incoming trauma cases.","2023-10-08T16:57:37"
"REC03030","H022","Cedar Valley Medical Center","ICU","nurse","Critical Care Nurse","2023-10-09","full_day","15","14","1","16","18","0.93","70.5","987","ICU nurse staffing at safe minimum.","2023-10-09T17:38:12"
"REC03031","H025","Northlake General Hospital","Pediatrics","doctor","Pediatrician","2023-10-09","morning","7","7","0","8","9","1","312","2184","All pediatricians on schedule for Monday.","2023-10-09T09:20:41"
"REC03032","H023","Willowbrook Memorial Hospital","Emergency","PPE","Surgical Mask","2023-10-09","afternoon","610","343","267","350","700","0.56","1.65","566.95","","2023-10-09T15:12:32"
"REC03033","H030","Summit Peaks University Hospital","Surgery","doctor","Surgeon","2023-10-09","night","9","8","1","9","11","0.89","340","2720","All but one surgeon on night shift.","2023-10-09T22:41:58"
"REC03034","H028","Golden Plains Medical Pavilion","ICU","bed","","2023-10-09","morning","24","20","4","21","29","0.83","8100","162000","ICU beds at moderate occupancy.","2023-10-09T08:17:23"
"REC03035","H021","Harborview Healthcare Center","Surgery","respirator","Surgical Respirator","2023-10-09","afternoon","2","2","0","2","3","1","12000","24000","Respirators fully assigned for procedures.","2023-10-09T14:29:46"
"REC03036","H029","Riverbend Regional Hospital","Emergency","PPE","Nitrile Gloves","2023-10-10","night","1120","675","445","700","1300","0.6","1.45","978.75","PPE demand increased for incident response.","2023-10-10T22:38:32"
"REC03037","H023","Willowbrook Memorial Hospital","ICU","nurse","","2023-10-10","morning","17","15","2","17","18","0.88","74","1110","ICU nurse staffing slightly below target.","2023-10-10T08:44:17"
"REC03038","H024","Silver Pine Health Institute","Surgery","monitor","Vital Signs Monitor","2023-10-10","afternoon","2","1","1","2","3","0.5","2180","2180","One monitor in use, one on standby.","2023-10-10T14:13:01"
"REC03039","H030","Summit Peaks University Hospital","ICU","PPE","","2023-10-10","night","460","315","145","350","490","0.68","3.5","1102.5","PPE supply holding steady, monitor usage.","2023-10-10T22:07:09"
"REC03040","H025","Northlake General Hospital","Emergency","doctor","","2023-10-10","morning","7","8","0","8","10","1.14","308","2464","All ER physicians on duty, overtime required.","2023-10-10T09:14:21"
"REC03041","H022","Cedar Valley Medical Center","Surgery","other","Surgical Drill","2023-10-11","full_day","1","1","0","1","2","1","5400","5400","","2023-10-11T11:12:12"
"REC03042","H021","Harborview Healthcare Center","ICU","bed","ICU Bed","2023-10-11","night","35","34","1","36","40","0.97","8000","272000","ICU beds nearly full, monitor for discharges.","2023-10-11T23:41:24"
"REC03043","H030","Summit Peaks University Hospital","Emergency","nurse","ER Nurse","2023-10-11","afternoon","12","12","0","13","14","1","71","852","Full ER nurse team, no absences.","2023-10-11T13:30:38"
"REC03044","H023","Willowbrook Memorial Hospital","Pediatrics","PPE","Child N95 Mask","2023-10-11","full_day","430","290","140","300","500","0.67","3.9","1131","PPE use average, no shortages reported.","2023-10-11T20:57:07"
"REC03045","H028","Golden Plains Medical Pavilion","ICU","ventilator","","2023-10-11","morning","9","8","1","9","11","0.89","13300","106400","Most ventilators in use, capacity close.","2023-10-11T09:23:19"
"REC03046","H026","Evergreen Regional Hospital","Pediatrics","nurse","","2023-10-12","afternoon","10","10","0","11","12","1","68.5","685","All pediatric nurses present for afternoon shift.","2023-10-12T13:00:41"
